t_s,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
100,28.00005333,28.00034748,28.00404592,28.03270299,28.18007055
300,28.04079221,28.06348892,28.15139665,28.36807044,28.84885267
600,28.45333103,28.53603182,28.80394504,29.31591639,30.16522806
900,29.32429544,29.45825166,29.87545502,30.61614259,31.73040009
1200,30.54271987,30.70976952,31.22234955,32.11255935,33.42763555
1500,31.99572073,32.18673455,32.76602142,33.74627783,35.12026191
1800,33.57534520,33.77200228,34.36416113,35.36212477,36.78556038
