t_s,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
100,2.55000000,2.55000000,2.55000000,2.54999996,2.24707418
300,2.55000000,2.55000000,2.55000000,2.54919919,2.05084950
600,2.55000000,2.55000000,2.54998860,2.53527533,1.87696874
900,2.55000000,2.54999980,2.54968375,2.50454335,1.75471707
1200,2.54999998,2.54999298,2.54818015,2.46456914,1.65855997
1500,2.54999931,2.54993780,2.54454118,2.42061092,1.57872491
1800,2.54999240,2.54972383,2.53829985,2.37547078,1.51023596
