t_h,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
0.5,2.54993407,2.54888365,2.52555709,2.32570398,1.64862018
1,2.52573532,2.49478387,2.35781510,2.02296237,1.47110209
1.5,2.38605842,2.32563100,2.13440464,1.80201590,1.34757016
2,2.17084583,2.10842881,1.92362509,1.62593764,1.23109268
2.5,1.95663771,1.90059364,1.73597741,1.47198602,1.11664503
3,1.76617435,1.71653049,1.57019600,1.33326198,1.00811977
