t_s,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
100,28.00004886,28.00032309,28.00384924,28.03187628,28.17952716
300,28.04062961,28.06337012,28.15128543,28.36725134,28.84859388
600,28.45334686,28.53605816,28.80388224,29.31554674,30.16407701
900,29.32429510,29.45832199,29.87574821,30.61642006,31.72952964
1200,30.54289285,30.70992851,31.22252431,32.11300257,33.42946071
1500,31.99597114,32.18705018,32.76668039,33.74760908,35.12112862
1800,33.57583084,33.77237125,34.36424764,35.36257803,36.78788005
