t_h,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
0.5,32.18964013,32.38243881,32.96604182,33.96081791,35.41321275
1,40.38217828,40.55417151,41.06091550,41.87828741,43.00000438
1.5,45.84707815,45.93512311,46.19324475,46.60548452,47.13973417
2,48.45032604,48.48814573,48.59850443,48.77361570,49.00333193
2.5,49.46701958,49.47928421,49.51364414,49.56452341,49.66167562
3,49.84938758,49.85527872,49.87461114,49.90964254,49.96451998
