time_s,max_C_1d,max_C_2d,difference_2d_minus_1d
1.320000000000000000e+04,1.548908007747018534e+00,1.548888421391586334e+00,-1.958635543219955366e-05
1.380000000000000000e+04,1.500269057195993350e+00,1.500250692162141464e+00,-1.836503385188592574e-05
1.440000000000000000e+04,1.453609052795058254e+00,1.453591904428254367e+00,-1.714836680388742707e-05
1.500000000000000000e+04,1.408815176877446396e+00,1.408799170694069680e+00,-1.600618337671555480e-05
1.560000000000000000e+04,1.365802878129704911e+00,1.365787910587689780e+00,-1.496754201513184057e-05
1.620000000000000000e+04,1.324476895945704946e+00,1.324462848092790024e+00,-1.404785291492238741e-05
1.680000000000000000e+04,1.284756048962566677e+00,1.284742804708991049e+00,-1.324425357562830641e-05
1.740000000000000000e+04,1.246566352600149141e+00,1.246553802677832667e+00,-1.254992231647378276e-05
1.800000000000000000e+04,1.209839919998892066e+00,1.209827965814078032e+00,-1.195418481403365263e-05
1.860000000000000000e+04,1.174513979490957594e+00,1.174502534536880471e+00,-1.144495407712220469e-05
1.920000000000000000e+04,1.140530079390238649e+00,1.140519069361813242e+00,-1.101002842540665938e-05
1.980000000000000000e+04,1.107833451143745096e+00,1.107822814023718738e+00,-1.063712002635774923e-05
2.040000000000000000e+04,1.076372501076960475e+00,1.076362185733439336e+00,-1.031534352113894215e-05
2.100000000000000000e+04,1.046098405891709326e+00,1.046088370756145247e+00,-1.003513556407931162e-05
2.160000000000000000e+04,1.016964790677287400e+00,1.016955002333773228e+00,-9.788343514172126447e-06
2.220000000000000000e+04,9.889274716627031170e-01,9.889179035007600316e-01,-9.568161943085407017e-06
2.280000000000000000e+04,9.619442492689305180e-01,9.619348802381912922e-01,-9.369030739225792104e-06
2.340000000000000000e+04,9.359747399773528098e-01,9.359655534977977531e-01,-9.186479555056692448e-06
2.400000000000000000e+04,9.109802380687271883e-01,9.109712211015901229e-01,-9.016967137065456939e-06
2.460000000000000000e+04,8.869236003313245575e-01,8.869147426022423453e-01,-8.857729082212273397e-06
2.520000000000000000e+04,8.637691484681722098e-01,8.637604418301622067e-01,-8.706638010003153738e-06
2.580000000000000000e+04,8.414825852073277712e-01,8.414740231269437487e-01,-8.562080384022507928e-06
2.640000000000000000e+04,8.200309211131838749e-01,8.200224982432386955e-01,-8.422869945179378703e-06
2.700000000000000000e+04,7.993824098293145219e-01,7.993741216283215545e-01,-8.288200992967453828e-06
2.760000000000000000e+04,7.795064897276899885e-01,7.794983323936285347e-01,-8.157334061453802576e-06
2.820000000000000000e+04,7.603737314908174394e-01,7.603657016610568808e-01,-8.029829760558548912e-06
2.880000000000000000e+04,7.419557897124630097e-01,7.419478843210531860e-01,-7.905391409823714355e-06
2.940000000000000000e+04,7.242253582839854875e-01,7.242175744545817917e-01,-7.783829403695818883e-06
3.000000000000000000e+04,7.071561288858636551e-01,7.071484638527957278e-01,-7.665033067927318200e-06
3.060000000000000000e+04,6.907227521449609275e-01,6.907152032020111854e-01,-7.548942949742176722e-06
3.120000000000000000e+04,6.749008010432179239e-01,6.748933656529569891e-01,-7.435390260934759965e-06
3.180000000000000000e+04,6.596667366886643791e-01,6.596594121412312495e-01,-7.324547433129602325e-06
3.240000000000000000e+04,6.449978754562700756e-01,6.449906589769308640e-01,-7.216479339211545607e-06
3.300000000000000000e+04,6.308723580935607922e-01,6.308652469492879167e-01,-7.111144272875513650e-06
3.360000000000000000e+04,6.172691202731939164e-01,6.172621117114589495e-01,-7.008561734966889389e-06
3.420000000000000000e+04,6.041678645296157946e-01,6.041609557951028719e-01,-6.908734512922620752e-06
3.480000000000000000e+04,5.915490334775073133e-01,5.915422218529449161e-01,-6.811624562397256000e-06
3.540000000000000000e+04,5.793937842180526543e-01,5.793870669146935493e-01,-6.717303359105031291e-06
3.600000000000000000e+04,5.676839638503295982e-01,5.676773380489296139e-01,-6.625801399984254658e-06
3.660000000000000000e+04,5.564020860109781808e-01,5.563955489719567549e-01,-6.537039021425883334e-06
3.720000000000000000e+04,5.455313083760824355e-01,5.455248573888134000e-01,-6.450987269035479699e-06
3.780000000000000000e+04,5.350554111104262045e-01,5.350490434507517712e-01,-6.367659674433312489e-06
3.840000000000000000e+04,5.249587759471442405e-01,5.249524889930909932e-01,-6.286954053247306717e-06
3.900000000000000000e+04,5.152263663689486961e-01,5.152201576015997819e-01,-6.208767348914179252e-06
3.960000000000000000e+04,5.058437083201225981e-01,5.058375752388235558e-01,-6.133081299042331125e-06
4.020000000000000000e+04,4.967968716443189048e-01,4.967908117893667930e-01,-6.059854952111809467e-06
4.080000000000000000e+04,4.880724521602691768e-01,4.880664631750252225e-01,-5.988985243954303428e-06
4.140000000000000000e+04,4.796575544696941584e-01,4.796516340512169130e-01,-5.920418477245448230e-06
4.200000000000000000e+04,4.715397751023318040e-01,4.715339210220171884e-01,-5.854080314615650593e-06
4.260000000000000000e+04,4.637071863702624253e-01,4.637013964740739902e-01,-5.789896188435061930e-06
4.320000000000000000e+04,4.561483206787124711e-01,4.561425928881388536e-01,-5.727790573617497216e-06
4.380000000000000000e+04,4.488521553150863208e-01,4.488464876334908316e-01,-5.667681595489248991e-06
4.440000000000000000e+04,4.418080976885436773e-01,4.418024882200964898e-01,-5.609468447187460072e-06
4.500000000000000000e+04,4.350059710109413502e-01,4.350004178827642232e-01,-5.553128177127053533e-06
4.560000000000000000e+04,4.284360003517471149e-01,4.284305017535133264e-01,-5.498598233788509759e-06
4.620000000000000000e+04,4.220887990686690849e-01,4.220833532643636921e-01,-5.445804305392876188e-06
4.680000000000000000e+04,4.159553556982204525e-01,4.159499610260843916e-01,-5.394672136060929546e-06
4.740000000000000000e+04,4.100270211151333388e-01,4.100216759946003209e-01,-5.345120533017944098e-06
4.800000000000000000e+04,4.042954960391635932e-01,4.042901989705219856e-01,-5.297068641607616257e-06
4.860000000000000000e+04,3.987528189289962777e-01,3.987475684678448706e-01,-5.250461151407037619e-06
4.920000000000000000e+04,3.933913541370297473e-01,3.933861488824029196e-01,-5.205254626827748865e-06
4.980000000000000000e+04,3.882037803586996794e-01,3.881986189655005637e-01,-5.161393199115682506e-06
5.040000000000000000e+04,3.831830794176185884e-01,3.831779606021572526e-01,-5.118815461335746164e-06
5.100000000000000000e+04,3.783225253234548946e-01,3.783174478655352835e-01,-5.077457919611116921e-06
5.160000000000000000e+04,3.736156736102246856e-01,3.736106363177576495e-01,-5.037292467036103005e-06
5.220000000000000000e+04,3.690563509512176377e-01,3.690513526757838725e-01,-4.998275433765186904e-06
5.280000000000000000e+04,3.646386450474851104e-01,3.646336846528890896e-01,-4.960394596020822888e-06
5.340000000000000000e+04,3.603568947167263281e-01,3.603519711420117289e-01,-4.923574714599254776e-06
5.400000000000000000e+04,3.562056803541033267e-01,3.562007925880286141e-01,-4.887766074712640574e-06
5.460000000000000000e+04,3.521798145594770002e-01,3.521749616338021305e-01,-4.852925674869723593e-06
5.520000000000000000e+04,3.482743330335877352e-01,3.482695140331010242e-01,-4.819000486711022546e-06
5.580000000000000000e+04,3.444844857757440315e-01,3.444796998029028279e-01,-4.785972841203633976e-06
5.640000000000000000e+04,3.408057284297009715e-01,3.408009746227834702e-01,-4.753806917501268714e-06
5.700000000000000000e+04,3.372337139476831447e-01,3.372289914790441157e-01,-4.722468639029031579e-06
5.760000000000000000e+04,3.337642844775855488e-01,3.337595925589877943e-01,-4.691918597754529685e-06
5.820000000000000000e+04,3.303934634936745440e-01,3.303888013721341665e-01,-4.662121540377484052e-06
5.880000000000000000e+04,3.271174481689775870e-01,3.271128151107479121e-01,-4.633058229674968942e-06
5.940000000000000000e+04,3.239326019886895613e-01,3.239279972892583626e-01,-4.604699431198788773e-06
6.000000000000000000e+04,3.208354476037308944e-01,3.208308705867259913e-01,-4.577017004903094488e-06
6.060000000000000000e+04,3.178226599353795034e-01,3.178181099371715224e-01,-4.549998207981076348e-06
6.120000000000000000e+04,3.148910594705985888e-01,3.148865358555006377e-01,-4.523615097951072528e-06
6.180000000000000000e+04,3.120376058600115021e-01,3.120331080315036920e-01,-4.497828507810108789e-06
6.240000000000000000e+04,3.092593917111898794e-01,3.092549190965517836e-01,-4.472614638095784301e-06
6.300000000000000000e+04,3.065536366127452061e-01,3.065491886675315580e-01,-4.447945213648107909e-06
6.360000000000000000e+04,3.039176814045910224e-01,3.039132576066741476e-01,-4.423797916874860903e-06
6.420000000000000000e+04,3.013489826646338354e-01,3.013445825066592421e-01,-4.400157974593366106e-06
6.480000000000000000e+04,2.988451074017139941e-01,2.988407303965823769e-01,-4.377005131617206501e-06
6.540000000000000000e+04,2.964037279852113071e-01,2.963993736652151822e-01,-4.354319996124900172e-06
6.600000000000000000e+04,2.940226172802377635e-01,2.940182851963173416e-01,-4.332083920421947454e-06
6.660000000000000000e+04,2.916996439903700167e-01,2.916953337136221625e-01,-4.310276747854224766e-06
6.720000000000000000e+04,2.894327682020415016e-01,2.894284793242402065e-01,-4.288877801295054581e-06
6.780000000000000000e+04,2.872200371252565665e-01,2.872157692479322399e-01,-4.267877324326541100e-06
6.840000000000000000e+04,2.850595810248618411e-01,2.850553337651426933e-01,-4.247259719147855606e-06
6.900000000000000000e+04,2.829496093359904485e-01,2.829453823259160394e-01,-4.227010074409065510e-06
6.960000000000000000e+04,2.808884069616786050e-01,2.808841998436851228e-01,-4.207117993482167861e-06
7.020000000000000000e+04,2.788743307296778218e-01,2.788701431609761361e-01,-4.187568701685684402e-06
