time_s,air_T_C,surface_C_drybasis,air_dewpoint_C,baseline_center_T_C,baseline_surface_T_C,latent_center_T_C,latent_surface_T_C
3.800000000000000000e+01,2.833439999999999870e+01,2.358245656881080343e+00,2.483095105239456757e+01,2.800000000027015545e+01,2.804116942435479132e+01,2.799999937441229747e+01,2.043133881418582476e+01
3.900000000000000000e+01,2.834319999999999951e+01,2.355847141423683233e+00,2.483624635555884907e+01,2.800000000043047876e+01,2.804276714229395395e+01,2.799999904657877181e+01,2.034891691333594466e+01
4.000000000000000000e+01,2.835200000000000031e+01,2.353481886871758633e+00,2.484153987433968425e+01,2.800000000067170092e+01,2.804438358744663162e+01,2.799999857620579391e+01,2.026793354319445584e+01
4.100000000000000000e+01,2.836079999999999757e+01,2.351148649346010089e+00,2.484683160990417150e+01,2.800000000102771480e+01,2.804601848149948395e+01,2.799999791361006984e+01,2.018833409089484476e+01
4.200000000000000000e+01,2.836959999999999837e+01,2.348846260444175105e+00,2.485212156341835055e+01,2.800000000154374291e+01,2.804767155655138922e+01,2.799999699601614722e+01,2.011006726271106260e+01
4.300000000000000000e+01,2.837839999999999918e+01,2.346573620957725481e+00,2.485740973604712067e+01,2.800000000227928609e+01,2.804934255448727498e+01,2.799999574526215440e+01,2.003308481061562318e+01
4.400000000000000000e+01,2.838719999999999999e+01,2.344329695299581129e+00,2.486269612895416969e+01,2.800000000331143823e+01,2.805103122640368696e+01,2.799999406535317092e+01,1.995734129279069435e+01
4.500000000000000000e+01,2.839600000000000080e+01,2.342113506492755626e+00,2.486798074330214448e+01,2.800000000473878714e+01,2.805273733208006348e+01,2.799999183987758045e+01,1.988279385176641512e+01
4.600000000000000000e+01,2.840479999999999805e+01,2.339924131624928183e+00,2.487326358025244488e+01,2.800000000668572397e+01,2.805446063949094437e+01,2.799998892931014183e+01,1.980940201012959179e+01
4.700000000000000000e+01,2.841359999999999886e+01,2.337760697735951965e+00,2.487854464096540497e+01,2.800000000930752719e+01,2.805620092435602686e+01,2.799998516823588091e+01,1.973712748856527455e+01
4.800000000000000000e+01,2.842239999999999966e+01,2.335622378111101849e+00,2.488382392660025744e+01,2.800000001279576978e+01,2.805795796972411793e+01,2.799998036253055744e+01,1.966593404420174096e+01
4.900000000000000000e+01,2.843120000000000047e+01,2.333508388930969790e+00,2.488910143831495958e+01,2.800000001738456135e+01,2.805973156558745174e+01,2.799997428653097131e+01,1.959578732368559173e+01
5.000000000000000000e+01,2.843999999999999773e+01,2.331417986224606498e+00,2.489437717726651655e+01,2.800000002335708871e+01,2.806152150852387095e+01,2.799996668022750868e+01,1.952665472817881565e+01
5.100000000000000000e+01,2.844879999999999853e+01,2.329350463088811996e+00,2.489965114461069007e+01,2.800000003105291668e+01,2.806332760136413995e+01,2.799995724651158113e+01,1.945850529015991270e+01
5.200000000000000000e+01,2.845759999999999934e+01,2.327305147150745324e+00,2.490492334150211207e+01,2.800000004087586802e+01,2.806514965288241470e+01,2.799994564850993584e+01,1.939130956164745001e+01
5.300000000000000000e+01,2.846640000000000015e+01,2.325281398252524223e+00,2.491019376909434158e+01,2.800000005330221953e+01,2.806698747750747813e+01,2.799993150703656042e+01,1.932503951240002493e+01
5.400000000000000000e+01,2.847519999999999740e+01,2.323278606333525786e+00,2.491546242853975812e+01,2.800000006888962290e+01,2.806884089505349422e+01,2.799991439818948180e+01,1.925966843659831795e+01
5.500000000000000000e+01,2.848399999999999821e+01,2.321296189487469519e+00,2.492072932098966476e+01,2.800000008828649101e+01,2.807070973046806017e+01,2.799989385111728168e+01,1.919517086708394160e+01
5.600000000000000000e+01,2.849279999999999902e+01,2.319333592176479275e+00,2.492599444759424543e+01,2.800000011224178564e+01,2.807259381359647676e+01,2.799986934597706423e+01,1.913152249656992865e+01
5.700000000000000000e+01,2.850159999999999982e+01,2.317390283588143252e+00,2.493125780950248327e+01,2.800000014161507522e+01,2.807449297896113904e+01,2.799984031210230384e+01,1.906870010523928727e+01
5.800000000000000000e+01,2.851039999999999708e+01,2.315465756122558005e+00,2.493651940786233467e+01,2.800000017738718938e+01,2.807640706555410048e+01,2.799980612639642530e+01,1.900668149409262142e+01
5.900000000000000000e+01,2.851919999999999789e+01,2.313559523996645328e+00,2.494177924382056233e+01,2.800000022067107253e+01,2.807833591664254413e+01,2.799976611196428777e+01,1.894544542344451798e+01
6.000000000000000000e+01,2.852799999999999869e+01,2.311671121947191043e+00,2.494703731852289152e+01,2.800000027272289671e+01,2.808027943331305565e+01,2.799971953698989324e+01,1.888497346836343382e+01
6.100000000000000000e+01,2.853906666666666680e+01,2.309800253175847917e+00,2.495391060675202866e+01,2.800000033495354756e+01,2.808228457399730260e+01,2.799966561382426633e+01,1.882528890760662321e+01
6.200000000000000000e+01,2.855013333333333136e+01,2.307946176369508606e+00,2.496078088764313563e+01,2.800000040894164499e+01,2.808434379364645750e+01,2.799960349849771291e+01,1.876636996100160815e+01
6.300000000000000000e+01,2.856119999999999948e+01,2.306108666196830637e+00,2.496764816374957618e+01,2.800000049644985012e+01,2.808644247587353959e+01,2.799953228971784114e+01,1.870818278845008109e+01
6.400000000000000000e+01,2.857226666666666404e+01,2.304287325319415825e+00,2.497451243762148465e+01,2.800000059941410413e+01,2.808857511004767815e+01,2.799945103026967530e+01,1.865070480594281221e+01
6.500000000000000000e+01,2.858333333333333215e+01,2.302481787325711959e+00,2.498137371180578015e+01,2.800000071997924778e+01,2.809073883802165739e+01,2.799935870277220218e+01,1.859391729841603791e+01
6.600000000000000000e+01,2.859440000000000026e+01,2.300691670472609474e+00,2.498823198884609198e+01,2.800000086051855419e+01,2.809293168418074416e+01,2.799925423760598520e+01,1.853780142265619801e+01
6.700000000000000000e+01,2.860546666666666482e+01,2.298916615296673349e+00,2.499508727128283780e+01,2.800000102360385412e+01,2.809515200338342567e+01,2.799913651180976615e+01,1.848234032369730784e+01
6.800000000000000000e+01,2.861653333333333293e+01,2.297156283089720752e+00,2.500195364611784754e+01,2.800000121204839587e+01,2.809739853494160400e+01,2.799900434328659315e+01,1.842751842986368516e+01
6.900000000000000000e+01,2.862759999999999749e+01,2.295410349817257778e+00,2.500885268434633346e+01,2.800000142892342936e+01,2.809967027936249906e+01,2.799885649880050664e+01,1.837332085774440671e+01
7.000000000000000000e+01,2.863866666666666561e+01,2.293678502672519492e+00,2.501574871388258714e+01,2.800000167753985991e+01,2.810196638155089488e+01,2.799869168946086262e+01,1.831973316455232847e+01
